id,type,subject,year,download_url,filename
2293,高考三級-法律廉政,社會學,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=911&iDP=275&iS=45,96年_高考三級-法律廉政_社會學.pdf
2294,專技高考-律師,民法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12560&iDP=6316&iS=3,96年_專技高考-律師_民法.pdf
2295,專技高考-律師,刑法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12561&iDP=6316&iS=85,96年_專技高考-律師_刑法.pdf
2296,專技高考-律師,商事法與國際私法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12562&iDP=6316&iS=155,96年_專技高考-律師_商事法與國際私法.pdf
2297,專技高考-律師,民事訴訟法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12563&iDP=6316&iS=156,96年_專技高考-律師_民事訴訟法.pdf
2298,專技高考-律師,刑事訴訟法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12564&iDP=6316&iS=88,96年_專技高考-律師_刑事訴訟法.pdf
2299,專技高考-律師,行政法與強制執行法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12565&iDP=6316&iS=157,96年_專技高考-律師_行政法與強制執行法.pdf
2300,專技高考-律師,中華民國憲法,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=12566&iDP=6316&iS=158,96年_專技高考-律師_中華民國憲法.pdf
2301,普考-法律廉政,刑事訴訟法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=868&iDP=273&iS=89,96年_普考-法律廉政_刑事訴訟法概要.pdf
2302,普考-法律廉政,刑法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=883&iDP=273&iS=90,96年_普考-法律廉政_刑法概要.pdf
2303,普考-法律廉政,行政法概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=870&iDP=273&iS=35,96年_普考-法律廉政_行政法概要.pdf
2304,普考-法律廉政,公務員法(包括任用、服務與懲戒)概要,96,https://lawyer.get.com.tw/exam/Download.ashx?iP=896&iDP=273&iS=140,96年_普考-法律廉政_公務員法(包括任用、服務與懲戒)概要.pdf
2305,特考三等-司法官,民法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12660&iDP=6332&iS=3,95年_特考三等-司法官_民法.pdf
2306,特考三等-司法官,民事訴訟法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12661&iDP=6332&iS=156,95年_特考三等-司法官_民事訴訟法.pdf
2307,特考三等-司法官,中華民國憲法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12662&iDP=6332&iS=158,95年_特考三等-司法官_中華民國憲法.pdf
2308,特考三等-司法官,刑法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12663&iDP=6332&iS=85,95年_特考三等-司法官_刑法.pdf
2309,特考三等-司法官,刑事訴訟法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12664&iDP=6332&iS=88,95年_特考三等-司法官_刑事訴訟法.pdf
2310,特考三等-司法官,行政法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12665&iDP=6332&iS=30,95年_特考三等-司法官_行政法.pdf
2311,特考三等-司法官,強制執行法與國際私法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12666&iDP=6332&iS=159,95年_特考三等-司法官_強制執行法與國際私法.pdf
2312,特考三等-檢察事務官(財經實務組),證券交易法與商業會計法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12853&iDP=6365&iS=168,95年_特考三等-檢察事務官(財經實務組)_證券交易法與商業會計法.pdf
2313,特考三等-檢察事務官(財經實務組),審計學,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12854&iDP=6365&iS=16,95年_特考三等-檢察事務官(財經實務組)_審計學.pdf
2314,特考三等-檢察事務官(財經實務組),中級會計學,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12855&iDP=6365&iS=13,95年_特考三等-檢察事務官(財經實務組)_中級會計學.pdf
2315,特考三等-檢察事務官(財經實務組),稅務法規,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12856&iDP=6365&iS=8,95年_特考三等-檢察事務官(財經實務組)_稅務法規.pdf
2316,特考三等-檢察事務官(財經實務組),銀行實務,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12857&iDP=6365&iS=163,95年_特考三等-檢察事務官(財經實務組)_銀行實務.pdf
2317,特考三等-檢察事務官(財經實務組),刑法與刑事訴訟法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12858&iDP=6365&iS=125,95年_特考三等-檢察事務官(財經實務組)_刑法與刑事訴訟法.pdf
2318,特考三等-檢察事務官(偵查實務組),智慧財產權法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12847&iDP=6353&iS=165,95年_特考三等-檢察事務官(偵查實務組)_智慧財產權法.pdf
2319,特考三等-檢察事務官(偵查實務組),英文,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12848&iDP=6353&iS=166,95年_特考三等-檢察事務官(偵查實務組)_英文.pdf
2320,特考三等-檢察事務官(偵查實務組),刑法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12849&iDP=6353&iS=85,95年_特考三等-檢察事務官(偵查實務組)_刑法.pdf
2321,特考三等-檢察事務官(偵查實務組),刑事訴訟法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12850&iDP=6353&iS=88,95年_特考三等-檢察事務官(偵查實務組)_刑事訴訟法.pdf
2322,特考三等-檢察事務官(偵查實務組),行政法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12851&iDP=6353&iS=30,95年_特考三等-檢察事務官(偵查實務組)_行政法.pdf
2323,特考三等-檢察事務官(偵查實務組),犯罪學,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12852&iDP=6353&iS=167,95年_特考三等-檢察事務官(偵查實務組)_犯罪學.pdf
2324,特考三等-檢察事務官(電子資訊組),計算機網路,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12859&iDP=6377&iS=170,95年_特考三等-檢察事務官(電子資訊組)_計算機網路.pdf
2325,特考三等-檢察事務官(電子資訊組),系統分析,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12860&iDP=6377&iS=169,95年_特考三等-檢察事務官(電子資訊組)_系統分析.pdf
2326,特考三等-檢察事務官(電子資訊組),資料結構,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12861&iDP=6377&iS=73,95年_特考三等-檢察事務官(電子資訊組)_資料結構.pdf
2327,特考三等-檢察事務官(電子資訊組),程式語言,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12862&iDP=6377&iS=72,95年_特考三等-檢察事務官(電子資訊組)_程式語言.pdf
2328,特考三等-檢察事務官(電子資訊組),電子學與電路學,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12863&iDP=6377&iS=171,95年_特考三等-檢察事務官(電子資訊組)_電子學與電路學.pdf
2329,特考三等-檢察事務官(電子資訊組),刑法與刑事訴訟法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=12858&iDP=6377&iS=125,95年_特考三等-檢察事務官(電子資訊組)_刑法與刑事訴訟法.pdf
2330,特考四等-司法人員(法院書記官),刑法概要,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=13050&iDP=6424&iS=90,95年_特考四等-司法人員(法院書記官)_刑法概要.pdf
2331,特考四等-司法人員(法院書記官),法院組織法,95,https://lawyer.get.com.tw/exam/Download.ashx?iP=13048&iDP=6424&iS=189,95年_特考四等-司法人員(法院書記官)_法院組織法.pdf
